p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.23407168673749	0.949	0.108	0	1	CG34377
7.45167724002579e-298	2.22365813421173	0.922	0.105	7.69683742122264e-294	1	gl
3.64912917512988e-278	1.70912308505353	0.785	0.064	3.76918552499165e-274	1	Lfg
2.50330209001333e-273	1.98143630800237	0.65	0.019	2.58566072877477e-269	1	Ekar
5.22789826760781e-267	1.88505253156099	0.738	0.05	5.39989612061211e-263	1	CG9150
1.84591668926955e-266	2.29629588586553	0.954	0.188	1.90664734834652e-262	1	nrm
1.61720460185678e-260	1.81162008634198	0.753	0.063	1.67041063325787e-256	1	CG5653
2.35931021169073e-236	2.34260499478139	0.871	0.178	2.43693151765535e-232	1	CG31176
1.4036585564902e-227	1.61036125885073	0.679	0.06	1.44983892299873e-223	1	Rab32
9.80380157884204e-224	3.09998601040526	0.8	0.136	1.01263466507859e-219	1	peb
9.82801700480204e-223	1.98159314561342	0.565	0.022	1.015135876426e-218	1	w
1.39537603512862e-221	1.52514826933589	0.572	0.025	1.44128390668436e-217	1	inaC
8.31137194649004e-221	2.61485756982735	0.998	0.692	8.58481608352956e-217	1	rst
3.38331784791219e-219	1.90222584639958	0.882	0.214	3.4946290051085e-215	1	so
1.90548579463644e-210	1.8780739861528	0.703	0.086	1.96817627727998e-206	1	Tsp42El
3.74181598372803e-207	3.16423538708754	0.643	0.067	3.86492172959268e-203	1	ru
1.76965093865165e-205	1.55052138465012	0.605	0.042	1.82787245453329e-201	1	qua
8.65417436322825e-200	3.25335633124714	0.578	0.044	8.93889669977846e-196	1	retn
9.73818150745923e-200	2.40855816518723	0.705	0.106	1.00585676790546e-195	1	rdo
4.55424027986482e-199	1.99445543114285	0.941	0.309	4.70407478507237e-195	1	eya
6.98390311925846e-199	2.16434367461885	0.903	0.259	7.21367353188206e-195	1	kirre
8.48334113425117e-192	2.82161995377662	0.741	0.144	8.76244305756803e-188	1	X11Lbeta
5.36003940134881e-191	1.59888757980194	1	0.969	5.53638469765318e-187	1	psq
5.55873979561465e-187	1.54036427579476	0.943	0.406	5.74162233489037e-183	1	Ipp
2.26326989720459e-184	3.49213779775986	0.838	0.243	2.33773147682262e-180	1	futsch
2.79520286566265e-184	1.69582650135982	0.987	0.724	2.88716503994296e-180	1	rdx
1.4328018771645e-183	2.53871829349714	1	0.624	1.47994105892321e-179	1	Mmp2
4.57329038501531e-180	1.09172182378406	0.561	0.046	4.72375163868232e-176	1	lz
1.22862656844914e-178	1.1845710872035	0.538	0.038	1.26904838255111e-174	1	sev
6.53194686932783e-176	1.83564084367659	0.998	0.673	6.74684792132871e-172	1	CG13300
1.1804653027694e-175	2.97044948482056	0.641	0.101	1.21930261123052e-171	1	SP2353
5.78916217374123e-175	1.15030051963097	0.667	0.095	5.97962560925732e-171	1	if
